id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count
12559,,ASSOCIATION OF EMPLOYING BOOKBINDERS,BANQUET,PROF;,"SAVOY HOTEL, NEW YORK, NY",BOOKLET; ILLUS; 5.5X7;,ANNIVERSARY;,FRENCH; PRICED WINE CARD AFFIXED TO INSIDE COVER; SEAL & MOTTO OF ASSOCIATION ON COVER; TOASTS & MUSICAL PROGRAM INCLUDED; LIST OF MEMBER BOOKBINDING FIRMS; SILK CORD ATTACHMENT;,1900-2156,,,2/26/1900,Association Of Employing Bookbinders,,Dollars,$,complete,8,30
12560,,DELMONICOS,MENU,,"NEW YORK, NY",FOLDER; ILLUS; COL; 4.5X7;,,FRENCH; LIST OF WINES; ENGRAVED PORTRAIT OF A WOMAN ON COVER; (POSSIBLY A PRIVATE PARTY?);,1900-2157,,,2/26/1900,Delmonicos,,,,complete,4,34
12561,,R.M.S. OCEANIC,LUNCH,COMMERCIAL,EN ROUTE,CARD; 3.5 X 5;,,SMALL FLAG AND LOGO;,1900-2165,,,2/27/1900,R.M.S. Oceanic,,,,complete,2,30
12562,,CUNARD LINE,BREAKFAST,COMMERCIAL,EN ROUTE ON BOARD R.M.S. CAMPANIA,CARD; 4.5 X 6.5;,,PRICED WINE LIST ON BACK OF MENU; PRICES IN BRITISH CURRENCY ONLY;,1900-2170,,,2/28/1900,Cunard Line,,,,complete,2,110
12563,,NEW ENGLAND SHORTHAND REPORTER'S ASSOCIATION,SEMI-ANNUAL DINNER,PROF;,"UNITED STATES HOTEL,BOSTON,MA",FOLDER;ILL;COL;5.5X8.5;,ANNIVERSARY;,PORTRAIT OF PRESIDENT OF ASSOCIATION ON FRONT COVER;TWO ILLUSTRATIONS OF REPORTERS AT WORK;TOASTS;MUSICAL PROGRAM;NAMES;,1900-3264,,,05-12-1900,New England Shorthand Reporter's Association,,,,complete,4,21
12564,,RECTOR'S,DAILY MENU,COMMERCIAL,"BROADWAY AND 44TH ST,NEW YORK,NY",FOLDER;ILL;COL;7X9.5;,DAILY;,SPECIAL DISHES ON SEPARATE CARD FASTENED WITH RIBBON IN PUNCHED HOLE;,1900-3265,,,5/13/1900,Rector's,,Dollars,$,complete,6,358
12567,,STATLER'S,DINNER,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, [NY];",CARD; ILLUS; 3.25X6.25;,,ILLUS: WOMAN HOLDING TEACUP AND SAUCER;,1900-3268,,,5/14/1900,Statler's,,,,complete,2,17
12568,,JOHN WANAMAKER,[LUNCH],COMMERCIAL,"BROADWAY & 10TH STREET, NEW YORK, [NY]",BROADSHEET; ILLUS; COL; 4.75X7.75,,"ILLUS: SHIELD WITH FLEUR DE LYS, FLANKED BY LOBSTERS; SURMOUNTED BY PIGEON;",1900-3270,,,5/14/1900,John Wanamaker,,Dollars,$,complete,2,72
12569,,MAXWELL HOUSE,SUPPER,COMMERCIAL,"NASHVILLE, [TN?]",CARD; ILLUS; 4.25X6.25,,ELABORATE PRINTING OF HOTEL NAME FORMS ILLUSTRATION;,1900-2397,,,03-12-1900,Maxwell House,,,,complete,2,38
12570,,MAXWELL HOUSE,DINNER,COMMERCIAL,"NASHVILLE, [TN?]",CARD; ILLUS; 5.5X7.5;,,ILLUSTRATION OF HOTEL AT TOP OF MENU;,1900-2398,,,03-12-1900,Maxwell House,,,,complete,2,31
12571,,"CLYDE STEAMSHIP CO., THE",DINNER,COMMERCIAL,STEAMSHIP IROQUOIS,BROADSHEET; ILLUS; COL; 10X7;,,"INCLUDES PRICED WINE, LIQUOR, ETC. LIST; STEAMSHIP INSIGNIA ON COVER; ON BACK COVER IS A MAP COMPRISING ALL LINES INVOLVED WITH CLYDE;",1900-2400,,,03-12-1900,"Clyde Steamship Co., The",,Dollars,$,complete,3,72
12573,,MAXWELL HOUSE,BREAKFAST,COMMERCIAL,"NASHVILLE, TN",CARD; ILLUS; 4.25X6.25;,,ELABORATE PRINTING OF HOTEL NAME FORMS ILLUSTRATION;,1900-2404,,,3/13/1900,Maxwell House,,,,complete,4,0
12574,,OCCIDENTAL & ORIENTAL STEAMSHIP CO.,BREAKFAST,COMMERCIAL,"S.S. ""COPTIC""",BROADSIDE; ILLUS; 5.5X8.5;,,HANDWRITTEN IN LAVENDAR INK; COMPANY FLAG AT TOP OF MENU;,1900-2410,,,3/13/1900,Occidental & Oriental Steamship Co.,,,,complete,2,24
12575,,GRENOBLE HOTEL,SOUPER,COMMERCIAL,NY,BROADSHEET; ILLUS.BORDER; COL; 7 X 11;,DAILY,COMPLETE WINE LIST ON BACK;,1900-2619,,,3/30/1900,Grenoble Hotel,,Dollars,$,complete,2,255
12576,,U.S. ARMY - SUBSISTENCE DEPT.,LUNCHEON,MIL;,TRANSPORT,BROADSIDE; 4.5 X 7;,,MENU HANDWRITTEN; SUMMER;,1900-2623,,,3/31/1900,U.S. Army   Subsistence Dept.,,,,complete,2,13
12577,,HADDON HALL,SUPPER,COMMERCIAL,"[PHILADELPHIA,PA.]",BROADSIDE; ILLUS; COL; 5 X 7;,DAILY,,1900-2625,,,3/31/1900,Haddon Hall,,,,complete,2,60
12578,,HADDON HALL,DINNER,COMMERCIAL,"[PHILADELPHIA, PA]",BROADSIDE; ILLUS; COL; 5 X 8;,DAILY,,1900-2626,,,3/31/1900,Haddon Hall,,,,complete,2,53
12579,,TRUSTEES OF THE MISSOURI BOTANICAL GARDEN,11TH ANNUAL BANQUET,PROF;,"SOUTHERN HOTEL,ST. LOUIS,MO.",BROADSIDE; ILLUS; 5.5 X 8.75;,ANNUAL,WINES LISTED FOR EACH COURSE;,1900-2627,,,3/31/1900,Trustees Of The Missouri Botanical Garden,,,,complete,2,22
12583,,,,,,,,,,,,4/15/1900,Hotel Eastman,,,,complete,2,67
12584,,,,,,,,,,,,4/15/1900,Republican House,,,,complete,2,34
12585,,,,,,,,,,,,4/16/1900,Norddeutscher Lloyd Bremen,,,,complete,2,86
12586,,,,,,,,,,,,4/16/1900,Norddeutscher Lloyd Bremen,,,,complete,2,66
12587,,,,,,,,,,,,4/16/1900,Norddeutscher Lloyd Bremen,,,,complete,4,34
12588,,,,,,,,,,,,4/16/1900,Canadian Pacific Railway Company,,,,complete,2,36
12589,,,,,,,,,,,,4/16/1900,Hotel Netherland,,Dollars,$,complete,2,145
12590,,,,,,,,,,,,4/17/1900,Norddeutscher Lloyd Bremen,,,,complete,2,82
12591,,,,,,,,,,,,4/17/1900,Norddeutscher Lloyd Bremen,,,,complete,2,60
12592,,,,,,,,,,,,4/17/1900,Norddeutscher Lloyd Bremen,,,,complete,4,35
12593,,,,,,,,,,,,4/17/1900,Hotel Marlborough,,,,complete,2,19
12595,,,,,,,,,,,,4/18/1900,Manhattan Hotel,,Dollars,$,complete,2,177
12596,,,,,,,,,,,,4/18/1900,Pacific Mail Steamship Company,,,,complete,4,20
12597,,,,,,,,,,,,4/18/1900,Occidental & Oriental,,,,complete,2,25
12598,,,,,,,,,,,,4/18/1900,Occidental & Oriental,,,,complete,2,24
12599,,,,,,,,,,,,4/18/1900,Occidental & Oriental Steamship Company,,,,complete,4,45
12600,,,,,,,,,,,,4/18/1900,Canadian Pacific Railway Company,,,,complete,2,41
12601,,,,,,,,,,,,4/18/1900,Canadian Pacific Railway Company,,,,complete,2,42
12602,,,,,,,,,,,,4/18/1900,Noviomagus,,,,complete,2,16
12603,,,,,,,,,,,,4/18/1900,Manhattan Hotel,,Dollars,$,complete,2,121
12604,,,,,,,,,,,,4/18/1900,Boston Boot & Shoe Club,,,,complete,6,24
12605,,,,,,,,,,,,4/19/1900,Canadian Pacific Railway,,,,complete,2,38
12606,,,,,,,,,,,,4/19/1900,Hotel Savoy,,,,complete,2,15
12607,,,,,,,,,,,,4/19/1900,Pacific Mail Steamship Co.,,,,complete,2,14
12609,,,,,,,,,,,,4/20/1900,Colby Alumni Association Of New York,,,,complete,4,21
12610,,,,,,,,,,,,4/20/1900,Hotel Imperial,,,,complete,2,15
12611,,,,,,,,,,,,4/20/1900,Whitefriars Club,,,,complete,2,15
12613,,,,,,,,,,,,4/20/1900,Canadian Pacific Railway,,,,complete,2,38
12614,,,,,,,,,,,,4/21/1900,Knights Of Revelry,,,,complete,8,22
12616,,,,,,,,,,,,4/21/1900,St. Mark's School Alumni Association,,,,complete,4,19
12617,,,,,,,,,,,,4/21/1900,Canadian Society Of New York,,,,complete,2,39
12618,,,,,,,,,,,,4/22/1900,Cafe Boulevard,,,,complete,2,17
12619,,,,,,,,,,,,4/22/1900,Pacific Mail Steamship Co.,,,,complete,2,14
12620,,,,,,,,,,,,4/22/1900,Morning Newspaper Bowling League,,,,complete,2,23
12621,,,,,,,,,,,,4/23/1900,Cunard Line,,Dollars,$,complete,2,102
12622,,,,,,,,,,,,4/23/1900,Cunard Line,,Dollars,$,complete,2,102
12624,,,,,,,,,,,,2/18/1900,U.S.M.S. New York,,Dollars,$,complete,2,103
12625,,,,,,,,,,,,2/18/1900,Bartholdi Hotel,,Dollars,$,complete,2,200
12626,,,,,,,,,,,,2/18/1900,Bartholdi Hotel,,Dollars,$,complete,4,342
12627,,,,,,,,,,,,2/19/1900,Haan's,,Dollars,$,complete,2,376
12628,,,,,,,,,,,,2/19/1900,Marie Antoinette Hotel,,Dollars,$,complete,2,81
12629,,,,,,,,,,,,2/20/1900,Red Star Line   S.S.Southwark,,Belgian Francs,BEF,complete,2,62
12630,,,,,,,,,,,,2/20/1900,Marie Antoinette Hotel,,Dollars,$,complete,2,123
12632,,,,,,,,,,,,1890-01-06,"Spiers & Pond,Ld",,,,complete,4,32
12633,,,,,,,,,,,,1890-01-08,Business Men's Democratic Association,,,,complete,4,28
12635,,,,,,,,,,,,1888-10-15,The Albany,,,,complete,2,30
12636,,,,,,,,,,,,1865-06-09,Revere House,,Dollars,$,complete,4,403
12637,,,,,,,,,,,,1892-05-19,National Verbandes Deutsch Amerikanischer Journalisten Und Schriftsteller (Unusual),,,,complete,2,19
12638,,,,,,,,,,,,06-03-1901,Columbia Restaurant,,Dollars,$,complete,4,495
12639,,,,,,,,,,,,06-04-1901,Mrs Cluff,,,,complete,4,15
12640,,,,,,,,,,,,06-05-1901,Baily Catering Co.The,,,,complete,7,18
12641,,,,,,,,,,,,06-05-1901,St Johns Old Bachelors' Association,,,,complete,2,14
12642,,,,,,,,,,,,01-01-1901,Northern Steamship Co.,,Dollars,$,complete,4,11
12643,,,,,,,,,,,,01-01-1901,Citizens'steamboat Company,,Dollars,$,complete,8,254
12644,,,,,,,,,,,,06-05-1901,National Association Of Manufacturers Of The United States Of America,,,,complete,4,21
12645,,,,,,,,,,,,2/25/1900,Hamburg Amerika Linie,,,,complete,4,28
12646,,,,,,,,,,,,2/26/1900,Union Hotel & Restaurant,,Dollars,$,complete,2,72
12647,,,,,,,,,,,,2/26/1900,Cunard Line,,Shillings,s,complete,2,92
12648,,,,,,,,,,,,2/26/1900,Cunard Line,,Shillings,s,complete,2,96
12649,,,,,,,,,,,,2/26/1900,New York Medical Club,,,,complete,4,17
12650,,,,,,,,,,,,2/26/1900,Red Star Line,,,,complete,2,16
12651,,,,,,,,,,,,2/26/1900,Red Star Line,,,,complete,2,17
12652,,,,,,,,,,,,2/26/1900,Red Star Line,,,,complete,2,16
12653,,,,,,,,,,,,2/26/1900,Red Star Line,,Francs,FF,complete,2,51
12654,,,,,,,,,,,,03-11-1900,Pabst Blue Ribbon,,Dollars,$,complete,2,50
12655,,,,,,,,,,,,03-11-1900,Maxwell House,,,,complete,2,31
12656,,,,,,,,,,,,03-11-1900,Maxwell House,,,,complete,2,23
12657,,,,,,,,,,,,03-11-1900,Cunard Line,,Shillings,s,complete,2,96
12658,,,,,,,,,,,,3/27/1900,Haddon Hall,,,,complete,2,51
12662,,,,,,,,,,,,3/30/1900,Ancient & Accepted Scottish Rite  (Masonic Lodge),,,,complete,4,18
12663,,,,,,,,,,,,3/30/1900,Upsilon Chapter   D.K.E. Fraternity,,,,complete,4,16
12665,,,,,,,,,,,,3/30/1900,German Restaurant & Buffet,,Dollars,$,complete,4,112
12666,,,,,,,,,,,,06-06-1901,Mr. John Morgan,,,,complete,4,23
12668,,,,,,,,,,,,06-06-1901,Entertainment Committee,,,,complete,4,20
12669,,,,,,,,,,,,06-06-1901,Oceanic Steamship Company,,,,complete,2,37
12670,,,,,,,,,,,,06-06-1901,Oceanic Steamship Company,,,,complete,2,50
12671,,,,,,,,,,,,06-06-1901,Norddeutscher Lloyd  Bremen,,,,complete,2,22
12672,,,,,,,,,,,,06-06-1901,Rhode Island Medical Society,,,,complete,2,18
12673,,,,,,,,,,,,06-07-1901,Oceanic Steamship Company,,,,complete,2,40
12674,,,,,,,,,,,,8/21/1900,Hotel Del Coronado,,,,complete,2,60
12675,,,,,,,,,,,,8/21/1900,Long Beach Hotel,,,,complete,2,20
12678,,,,,,,,,,,,2/26/1900,Bristol Hotel,,,,complete,2,11
12688,,,,,,,,,,,,5/14/1900,John Wanamaker,,Dollars,$,complete,2,73
12689,,,,,,,,,,,,03-12-1900,Maxwell House,,,,complete,2,41
12694,,,,,,,,,,,,3/13/1900,Occidental & Oriental Steamship Co.,,,,complete,2,25
12695,,,,,,,,,,,,3/30/1900,Grenoble Hotel,,Dollars,$,complete,2,250
12696,,,,,,,,,,,,3/31/1900,U.S. Army   Subsistence Dept.,,,,complete,2,12
12697,,,,,,,,,,,,3/31/1900,Haddon Hall,,,,complete,2,60
12698,,,,,,,,,,,,3/31/1900,Haddon Hall,,,,complete,2,55
12700,,GERMAN RESTAURANT & BUFFET,DAILY MENU - 11;30 T0 3;00,COMMERCIAL,"137 E. MADISON ST. CHICAGO, ILL.",FOLDER; ILLUS; COL; 4.5 X 10.5;,DAILY,LIST OF VAUDEVIILE ENTERTAINERS FOR THE WEEK;,1900-2630,,,3/31/1900,German Restaurant & Buffet,,Dollars,$,complete,4,109
12702,,PIONEER DINING CAR LINE,DAILY MENU,COMMERCIAL,EN ROUTE,BROADSIDE; COL; 5 X 7.25;,DAILY,SEPARATE PAGE OF HANDWRITTEN SPECIALS PASTED ON REGULAR MENU;,1900-2632,,,3/31/1900,Pioneer Dining Car Line,,Dollars,$,complete,2,46
12703,,VENDOME HOTEL,BREAKFAST,COMMERCIAL,"BOSTON, MASS.",BROADSIDE; HOTEL EMBLEM; 5 X 7;,DAILY,"HOURS FOR BREAKFAST,LUNCH,DINNER & TEA LISTED;",1900-2636,,,04-01-1900,Vendome Hotel,,,,complete,2,78
12704,,NETHERLAND HOTEL,A LA CARTE MENU,COMMERCIAL,NY,FOLDER; ILLUS; COL; 6.5 X 11;,DAILY,,1900-2637,,,04-01-1900,Netherland Hotel,,Dollars,$,complete,4,389
12705,,MILLS HOTEL,DINNER,COMMERCIAL,BLEECKER ST. NY,BROADSHEET; 3.75 X 6;,DAILY,DINNER SERVED FROM 11;30 TO 9 PM; BREAKFAST MENU ON BACK;,1900-2638,,,04-01-1900,Mills Hotel,,,,complete,2,67
12706,,CROMWELL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,EN ROUTE,BROADSIDE; COL;4.5 X 7.5;,DAILY,ALL HANDWRITTEN;,1900-2641,,,04-01-1900,Cromwell Steamship Company,,,,complete,2,19
12708,,CROMWELL STEAMSHIP COMPANY,BREAKFAST;,COMMERCIAL,,CARD;ILL;COL;4.5X7.5;,DAILY;,"FLAG;HANDWRITTEN,MECHANICALLY REPRODUCED;",1900-2649,,,04-02-1900,Cromwell Steamship Company,,,,complete,2,18
12709,,WILLARD'S HOTEL,BREAKFAST,COMMERCIAL,"[WASHINGTON,DC]",CARD;4.5X7;,DAILY;,SEVERAL HANDWRITTEN ENTRIES ON PRINTED MENU; DATE BY FB;,1900-2656,,,04-03-1900,Willard's Hotel,,,,complete,2,67
12710,,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,ABOARD SS ?,BROADSIDE; 5.5X7.75;,,HAND WRITTEN;,1900-4132,,,8/22/1900,Nippon Yusen Kaisha,,,,complete,2,14
12711,,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,ABOARD SS ?,BROADSIDE; 5.5X7.75;,,HAND WRITTEN;,1900-4134,,,8/22/1900,Nippon Yusen Kaisha,,,,complete,2,18
12712,,CINCINNATI ENQUIRER HOUSEHOLD CLUB,ANNUAL OUTING,SOC;,"HOTEL VICTORY, PUT-IN-BAY-ISLAND, LAKE ERIE, OH.",FOLDER; ILLUS; COL; 5.5X6.75;,,"ILLUS, WOMAN IN (18TH CENTURY?) COSTUME WITH BASKET OF FLOWERS;",1900-4145,,,8/23/1900,Cincinnati Enquirer Household Club,,,,complete,4,38
12713,,NIPPON YUSEN KAISHA,[DINNER],COMMERCIAL,ABOARD SS KOBE;,BROADSHEET; ILLUS; COL; 10.5X9.5;,,"HAND WRITTEN; ILLUS, YOUTHS IN JAPANESE COSTUME, CARRYING FLOAT;  REVERSE SIDE, MAP OF INDIAN OCEAN SHOWING THE STEAMER TRACKS OF THE NIPPON YUSEN KAISHA;",1900-4148,,,8/24/1900,Nippon Yusen Kaisha,,,,complete,2,15
12714,,HOTEL VICTORY,EVENING DINNER,COMMERCIAL,"PUT-IN-BAY-ISLAND, LAKE ERIE, OH;",BROADSIDE; 4.5X6.75;,,,1900-4151,,,8/24/1900,Hotel Victory,,,,complete,2,34
12715,,TOYO KISEN KAISHA,DINNER IN HONOR OF H.I.M.MUTSU-HITO 47TH BIRTHDAY,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,BROADSHEET; ILLUS; 6.5 X 7.75;,COMPLIMENTARY/TESTIMONIAL,"B&W PHOTOGRAPHS OF VARIOUS POINTS OF INTEREST IN AMERICA, HAWAII, CHINA;JAPAN;",1900-4856,,,11-02-1900,Toyo Kisen Kaisha,,,,complete,2,44
12716,,ROUND TABLE CLUB,LUNCH,SOC;,[THE KNICKERBOCKER CLUB?],CARD;ILLUS;COL;5.5X8;,,WINES;PLACE HANDWRITTEN ON BACK;NAMES ON BACK HANDWRITTEN;DR.J.S.BILLINGS NAME HANDWRITTEN IN DIFFERENT HAND;,1900-4859,,,11-02-1900,Round Table Club,,,,complete,2,26
12717,,ST. LOUIS HORSE SHOW ASSOCIATION,BANQUET,SOC;,SAINT LOUIS CLUB,FOLDER; ILLUS; 3X5;,,FRENCH & ENGLISH; WINES INCLUDED; MUSE ILLUSTRATION ON COVER;,1900-4860,,,11-03-1900,St. Louis Horse Show Association,,,,complete,4,18
12718,,GRUNEWALD HOTEL,DINNER,COMMERCIAL,"NEW ORLEANS, LA",BROADSHEET; ILLUS; 5.25X8.25;,,TABLE D'HOTE MENU INCLUDES PINT FRENCH CLARET; ILLUSTRATION OF COAT OF ARMS AND TABLE LADEN WITH FRUIT AND WINES; MUSICAL PROGRAM INCLUDED;,1900-4861,,,11-03-1900,Grunewald Hotel,,,,complete,2,21
12719,,NEW STATE HOUSE,EVENING MEAL,,"WACO, TX",BROADSIDE; ILLUS; 4.5X7.25;,,ILLUSTRATION OF COTTON YARD;,1900-4862,,,11-05-1900,New State House,,,,complete,2,35
12722,,JOHN WANAMAKER,BREAKFAST,COMMERCIAL,"NEW YORK, [NY]",BROADSIDE; 4.75X8.25;,,DATE HAND-WRITTEN [FEB?];,1900-3271,,,5/14/1900,John Wanamaker,,,,complete,2,40
12723,,PACIFIC MAIL STEAMSHIP CO.,[DINNER],COMMERCIAL,SS CITY OF PARA,FOLDER; 5.5X8.5;,,,1900-3276,,,5/14/1900,Pacific Mail Steamship Co.,,,,complete,4,16
12724,,JOHN WANAMAKER,DAILY MENU,COMMERCIAL,"BROADWAY & 10TH STREET, NEW YORK, [NY]",FOLDER; ILLUS; COL; 6.25X10.5;,,"ILLUS: SHIELD WITH FLEUR DE LYS, FLANKED BY LOBSTERS; SURMOUNTED BY PIGEON;",1900-3277,,,5/14/1900,John Wanamaker,,Dollars,$,complete,4,242
12725,,PACIFIC MAIL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,SS RIO DE JANEIRO,BROADSIDE; 5.75X8.75;,,,1900-3284,,,5/15/1900,Pacific Mail Steamship Company,,,,complete,2,19
12726,,PACIFIC MAIL STEAMSHIP COMPANY,TIFFIN,COMMERCIAL,SS RIO DE JANEIRO,BROADSIDE; 5.75X8.75;,,,1900-3285,,,5/15/1900,Pacific Mail Steamship Company,,,,complete,2,21
12728,,NEW FALMOUTH HOTEL,BREAKFAST,COMMERCIAL,"PORTLAND, ME",BROADSIDE; 5.0X8.0;,,"DATE HAND WRITTEN (FEB?); SIGNED BY F. H. NUNNS, PROP.;",1900-3296,,,5/16/1900,New Falmouth Hotel,,,,complete,2,54
12729,,NEW FALMOUTH HOTEL,DINNER,COMMERCIAL,"PORTLAND, ME",BROADSIDE; 5.0X8.5;,,"SIGNED BY F. H. NUNNS, PROP.; NOTE AT BOTTOM OF MENU: JEFFERSON THEATRE, ""TACITUS""",1900-3297,,,5/16/1900,New Falmouth Hotel,,,,complete,2,54
12731,,C XIII C,MENU,[SOC?];,"QUEEN CITY CLUB, [CINCINNATI, OH]",CARD; COL; 3.25X5.25;,,INCLUDES WINES SERVED WITH INDIVIDUAL COURSES; DECORATIVE MONOGRAM IS PROBABLY NAME OF SPONSOR; [LOCATION INFO SUPPLIED BY FEB];,1900-4872,,,11/13/1900,C Xiii C,,,,complete,2,12
12732,,DEL CORONADAO HOTEL,BREAKFAST,COMMERCIAL,"CORONADO BEACH, CA",CARD; ILLUS; COL; 4.5X7.5;,,TABLE D'HOTE MENU; SKETCH OF CROWN AT TOP OF MENU;,1900-4873,,,11/13/1900,Del Coronadao Hotel,,,,complete,2,70
12733,,DEL CORONADAO HOTEL,DINNER,COMMERCIAL,"CORONADO BEACH, CA",CARD; ILLUS; COL; 4.5X7.5;,,"TABLE D'HOTE MENU; SKETCH OF CROWN AT TOP OF MENU; INCLUDES MUSIC PROGRAM AND ""TEMPERATURE AT NOON TODAY WAS 75;""",1900-4874,,,11/13/1900,Del Coronadao Hotel,,,,complete,2,48
12736,,HAAN'S,LUNCH,COMMERCIAL,"75TH STREET AND COLUMBUS AVE,NEW YORK,NY",CARD;ILL;COL;5X8.25;,DAILY;,WINE LIST;,1900-1175,,,2/20/1900,Haan's,,Dollars,$,complete,2,191
12737,,WEST END HOTEL RESTAURANT,DAILY,COMMERCIAL,"WEST 125TH STREET,NEW YORK,NY",FOLDER;COL;7X12.25;,DAILY;,WINE LIST;PRICE CHANGES;,1900-1179,,,2/20/1900,West End Hotel Restaurant,,Dollars,$,complete,4,378
12738,,SAVOY HOTEL,LUNCH,COMMERCIAL,"[LONDON,ENGLAND]",CARD;ILL;COL;4.25X7;,DAILY;,EGYPTIAN WATER SIDE SCENE WITH A SPRAY OF FLOWERS ON TOP AND A SINGLE FLOWER ON BOTTOM LEFT;FRENCH MENU;DATE IN FRENCH;LONDON WRITTEN BY HAND;,1900-1180,,,2/20/1900,Savoy Hotel,,,,complete,2,16
12739,,USMS NEW YORK,BREAKFAST,COMMERCIAL,,CARD;ILL;COL;4X6.25;,DAILY;,FLAG WITH BIRD UPPER LEFT;,1900-1181,,,2/21/1900,Usms New York,,,,complete,2,27
12740,,CUNARD LINE,BREAKFAST,COMMERCIAL,SS ETRURIA,CARD;ILL;COL;4.25X6.5;,DAILY;,FLAG WITH LION UPPER LEFT;WINE LIST ON BACK;,1900-1182,,,2/21/1900,Cunard Line,,,,complete,2,95
12746,,BATTERY PARK HOTEL,BREAKFAST,COMMERCIAL,"ASHEVILLE,NC",CARD;ILL;COL;4.5X7.25;,DAILY;,HORNED ANIMAL OVER CROWN ON TOP CENTER;,1900-1190,,,2/21/1900,Battery Park Hotel,,,,complete,2,51
12747,,HASKIN'S RESTAURANT,BREAKFAST,COMMERCIAL,"117 WEST 34TH STREET,NEW YORK,NY",CARD;5X7,DAILY;,,1900-1192,,,2/21/1900,Haskin's Restaurant,,,,complete,2,43
12749,,CUNARD LINE,DINNER,COMMERCIAL,RMS LUCANIA,CARD;ILL;COL;4.25X6.5;,DAILY;,WINE LIST ON BACK;FLAG;,1900-2919,,,4/23/1900,Cunard Line,,,,complete,2,97
12751,,CANADIAN PACIFIC RAILWAY COMPANY,BREAKFAST,COMMERCIAL,RMS EMPRESS OF CHINA,CARD;ILL;COL;4.5X7;,DAILY;,FLAG;,1900-2922,,,4/23/1900,Canadian Pacific Railway Company,,,,complete,2,35
12754,,EVERETT HOUSE,BREAKFAST,COMMERCIAL,"UNION SQUARE,NEW YORK,NY",FOLDER;ILL;COL;7X11L,DAILY;,EMBLEM AND DECORATION ON FRONT COVER;HANDWRITTEN DATE BY FB;WINE LIST ON BACK;,1900-2930,,,4/23/1900,Everett House,,Dollars,$,complete,4,516
12755,,EVERETT HOUSE,BILL OF FARE,COMMERCIAL,"UNION SQUARE,NEW YORK,NY",FOLDER;ILL;COL;7X11L,DAILY;,EMBLEM AND DECORATION ON FRONT COVER;HANDWRITTEN DATE BY FB;WINE LIST ON BACK;,1900-2931,,,4/23/1900,Everett House,,Dollars,$,complete,4,579
12757,,PACIFIC MAIL STEAMSHIP CO.,BREAKFAST,COMMERCIAL,"PANAMA LINE,CITY OF PARA",BROADSIDE;5.5X8.5;,DAILY;,,1900-2934,,,4/23/1900,Pacific Mail Steamship Co.,,,,complete,2,18
12758,,PACIFIC MAIL STEAMSHIP CO.,DINNER,COMMERCIAL,"PANAMA LINE,CITY OF PARA",FOLDER;5.5X8.5;,DAILY;,,1900-2935,,,4/23/1900,Pacific Mail Steamship Co.,,,,complete,4,19
12759,,DENTAL DEPARTMENT OF WASHINGTON UNIVERSITY,ANNUAL BANQUET,EDUC;,"SOUTHERN HOTEL,[ST.LOUIS,MO]",CARD;ILL;COL;4X7;,ANNIVERSARY;,WINES;EMBLEM;CITY AND STATE HANDWRITTEN BY FB;,1900-2939,,,4/24/1900,Dental Department Of Washington University,,,,complete,2,24
12763,,CANADIAN PACIFIC RAILWAY COMPANY,DNNER,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",CARD; ILLUS; COL; 4/75X7.25;,,EACH MENU ITEM NUMBERED; STEAMSPHIP LINE FLAG AT TOP OF MENU;,1900-2948,,,4/24/1900,Canadian Pacific Railway Company,,,,complete,2,39
12764,,GRAND HOTEL,"DINNER GIVEN TO MR. F.W. MANN, LIEUT. A.I.R., PREVIOUS TO HIS DEPARTURE FOR SOUTH AFRICA",COMMERCIAL,"MELBOURNE, AUSTRALIA",BOOKLET; ILLUS; 4.25X6.25;,COMPLIMENTARY/TESTIMONIAL,FRENCH; INCLUDES TOASTS; MILITARY FIGURE SKETCHED ON COVER;,1900-2952,,,4/25/1900,Grand Hotel,,,,complete,4,12
12765,,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,"DAMPFER ""KAISER WILHELM DER GROSSE""",CARD; ILLUS; COL; 5.5X8.25;,,GERMAN & ENGLISH; MARITIME SCENE AT TOP OF MENU; MENU PRINTED SO IT CAN BE USED AS POSTCARD;,1900-2959,,,4/25/1900,Norddeutscher Lloyd Bremen,,,,complete,2,60
12766,,NORDDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,"DAMPFER ""KAISER WILHELM DER GROSSE""",FOLDER; ILLUS; COL; 5.25X8.5;,,"GERMAN & ENGLISH; MUSICAL PROGRAM ON BACKCOVER; ORNATELY DECORATED COVER WITH BUST OF KAISER WILHELM, MYTHICAL FIGURES, ETC., THIS APPEARS TO BE ASIAN, AUSTRALIAN LINE;",1900-2960,,,4/25/1900,Norddeutscher Lloyd Bremen,,,,complete,4,34
